family_key,family_title,brands,variant_count,variant_codes,variant_labels,colors,sizes,supplier_codes,gtins,min_msrp,max_msrp,image_count,source_urls
907050,ΤΣΑΝΤΑ LYDIA,POLO,4,8241|8242|8332|8333,8241|8242|8332|8333,,O/S,907050-8241|907050-8242|907050-8332|907050-8333,5201927122751|5201927122768|5201927129415|5201927129422,33.00,33.00,5,https://www.polo.gr/bags/urban/women-bag/el-bag-lydia-8241/|https://www.polo.gr/bags/urban/women-bag/el-bag-lydia-8242/|https://www.polo.gr/bags/urban/women-bag/el-bag-lydia-8332/|https://www.polo.gr/bags/urban/women-bag/el-bag-lydia-8333/
907052,ΤΣΑΝΤΑΚΙ 2MINI Ι,POLO,8,2001|8321|8322|8323|8324|8325|8326|8327,2001|8321|Mini Sign|Mini Mint|8324|8325|8326|8327,,O/S,907052-2001|907052-8321|907052-8322|907052-8323|907052-8324|907052-8325|907052-8326|907052-8327,5201927130619|5201927130541|5201927129293|5201927130565|5201927130572|5201927130589|5201927130596|5201927130602,18.00,18.00,16,https://www.polo.gr/bags/urban/women-bag/el-2mini-bag-2001/|https://www.polo.gr/bags/urban/women-bag/el-2mini-bag-8321/|https://www.polo.gr/bags/urban/women-bag/el-2mini-bag-8322/|https://www.polo.gr/bags/urban/women-bag/el-2mini-bag-8323/|https://www.polo.gr/bags/urban/women-bag/el-2mini-bag-8324/|https://www.polo.gr/bags/urban/women-bag/el-2mini-bag-8325/|https://www.polo.gr/bags/urban/women-bag/el-2mini-bag-8326/|https://www.polo.gr/bags/urban/women-bag/el-2mini-bag-8327/
907061,LUNCH BAG OFFICE II,POLO,3,2000|4700|5001,2000|4700|5001,,O/S,907061-2000|907061-4700|907061-5001,5201927127732|5201927149604|5201927149611,14.00,14.00,4,https://www.polo.gr/bags/back2school/el-back2school-food-accessories/el-lunch-bag-office-ii-2000/|https://www.polo.gr/bags/back2school/el-back2school-food-accessories/el-lunch-bag-office-ii-4700/|https://www.polo.gr/bags/back2school/el-back2school-food-accessories/el-lunch-bag-office-ii-5001-2/
907062,ΣΑΚΙΔΙΟ MAJESTIC,POLO,2,5100|7402,5100|7402,,O/S,907062-5100|907062-7402,5201927130473|5201927130343,36.30,36.30,4,https://www.polo.gr/bags/urban/women-bag/el-backback-majestic-5100/|https://www.polo.gr/bags/urban/women-bag/el-backback-majestic-7402/
907064,ΣΑΚΙΔΙΟ NADINA NG,POLO,3,2002|3300|7403,2002|3300|7403,,O/S,907064-2002|907064-3300|907064-7403,5201927138905|5201927138899|5201927138882,36.30,36.30,7,https://www.polo.gr/bags/urban/women-bag/el-backpack-nadina-ng-2002/|https://www.polo.gr/bags/urban/women-bag/el-backpack-nadina-ng-3300/|https://www.polo.gr/bags/urban/women-bag/el-backpack-nadina-ng-7403/
907065,ΤΣΑΝΤΑ ΣΤΗΘΟΥΣ AURORA,POLO,2,3300|7403,3300|7403,,O/S,907065-3300|907065-7403,5201927139070|5201927139094,30.80,30.80,3,https://www.polo.gr/bags/urban/women-bag/%cf%84%cf%83%ce%b1%ce%bd%cf%84%ce%b1-%cf%83%cf%84%ce%b7%ce%b8%ce%bf%cf%85%cf%83-aurora-2/|https://www.polo.gr/bags/urban/women-bag/%cf%84%cf%83%ce%b1%ce%bd%cf%84%ce%b1-%cf%83%cf%84%ce%b7%ce%b8%ce%bf%cf%85%cf%83-aurora-3/
907070,ΤΣΑΝΤΑΚΙ ΩΜΟΥ VERTICAL-S,POLO,1,2000,Vertical Small,,O/S,907070-2000,5201927107505,19.80,19.80,1,https://www.polo.gr/bags/urban/shoulder-bag/el-vertical-070-2000/
907071,ΤΣΑΝΤΑΚΙ ΩΜΟΥ VERTICAL-M,POLO,1,2000,Vertical,,O/S,907071-2000,5201927110727,22.00,22.00,2,https://www.polo.gr/bags/urban/shoulder-bag/el-vertical-071-2000/
907072,ΤΣΑΝΤΑΚΙ ΩΜΟΥ VERTICAL-L,POLO,1,2000,Vertical Large,,O/S,907072-2000,5201927107512,24.20,24.20,1,https://www.polo.gr/bags/urban/shoulder-bag/el-vertical-072-2000/
907080,ΣΑΚΙΔΙΟ VINTAGE,POLO,4,3052|4052|6873|7068,3052|4052|6873|7068,Μπλε|Πράσινο,O/S,907080-3052|907080-4052|907080-6873|907080-7068,5201927135652|5201927135669|5201927135676|5201927135683,22.00,22.00,14,https://www.polo.gr/bags/back2school/nipiagogeiou/el-backback-vintage-3052/|https://www.polo.gr/bags/back2school/nipiagogeiou/el-backback-vintage-4052/|https://www.polo.gr/bags/back2school/nipiagogeiou/el-backback-vintage-6873/|https://www.polo.gr/bags/back2school/nipiagogeiou/el-backback-vintage-7068/
